filename,tipo,fuente,inicio_grabacion,offset_s,fecha_hora_absoluta,estado,tipo_corregido,clip_path,espectrograma_path,revisado_en,revisor,creado_en,actualizado_en
2025-10-04_09h01m25s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-04 09:00:00,85.6,2025-10-04 09:01:25,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-04_09h01m25s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-04_09h01m25s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-04_09h02m19s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-04 09:00:00,139.8,2025-10-04 09:02:19,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-04_09h02m19s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-04_09h02m19s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-04_09h03m03s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-04 09:00:00,183.3,2025-10-04 09:03:03,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-04_09h03m03s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-04_09h03m03s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-04_09h04m25s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-04 09:00:00,265.2,2025-10-04 09:04:25,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-04_09h04m25s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-04_09h04m25s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-04_09h04m59s_high_call.wav,high_call,muelle-madryn-2025-10,2025-10-04 09:00:00,299.3,2025-10-04 09:04:59,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-04_09h04m59s_high_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-04_09h04m59s_high_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h01m05s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,65.1,2025-10-06 15:01:05,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h01m05s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h01m05s_pulsive_call.png,2026-08-09T23:00:02,local,2026-08-10 01:50:25,2026-08-10 02:00:02
2025-10-06_15h01m38s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,98.8,2025-10-06 15:01:38,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h01m38s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h01m38s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h02m08s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,128.3,2025-10-06 15:02:08,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h02m08s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h02m08s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h03m13s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,193.7,2025-10-06 15:03:13,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h03m13s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h03m13s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h03m40s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,220.4,2025-10-06 15:03:40,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h03m40s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h03m40s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h04m28s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,268.8,2025-10-06 15:04:28,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h04m28s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h04m28s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h05m24s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,324.4,2025-10-06 15:05:24,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h05m24s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h05m24s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h05m47s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,347.9,2025-10-06 15:05:47,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h05m47s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h05m47s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h06m55s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,415.9,2025-10-06 15:06:55,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h06m55s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h06m55s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h07m48s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,468.8,2025-10-06 15:07:48,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h07m48s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h07m48s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h08m47s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,527.8,2025-10-06 15:08:47,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h08m47s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h08m47s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h09m26s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,566.3,2025-10-06 15:09:26,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h09m26s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h09m26s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h10m08s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,608.8,2025-10-06 15:10:08,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h10m08s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h10m08s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h10m57s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,657.3,2025-10-06 15:10:57,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h10m57s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h10m57s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h11m43s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,703.9,2025-10-06 15:11:43,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h11m43s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h11m43s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h12m47s_pulsive_call.wav,pulsive_call,muelle-madryn-2025-10,2025-10-06 15:00:00,767.3,2025-10-06 15:12:47,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h12m47s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h12m47s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h13m42s_high_call.wav,high_call,muelle-madryn-2025-10,2025-10-06 15:00:00,822.6,2025-10-06 15:13:42,propuesto,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h13m42s_high_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h13m42s_high_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2025-10-06_15h14m24s_no_clasificado.wav,no_clasificado,muelle-madryn-2025-10,2025-10-06 15:00:00,864.7,2025-10-06 15:14:24,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2025-10-06_15h14m24s_no_clasificado.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2025-10-06_15h14m24s_no_clasificado.png,2026-08-09T23:07:58,local,2026-08-10 01:50:25,2026-08-10 02:07:58
2026-08-03_17h39m18s_pulsive_call.wav,pulsive_call,embarcacion-2026-08,2026-08-03 17:38:56,22.7,2026-08-03 17:39:18,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2026-08-03_17h39m18s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2026-08-03_17h39m18s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2026-08-03_17h40m19s_pulsive_call.wav,pulsive_call,embarcacion-2026-08,2026-08-03 17:38:56,83.1,2026-08-03 17:40:19,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2026-08-03_17h40m19s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2026-08-03_17h40m19s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
2026-08-03_17h41m05s_pulsive_call.wav,pulsive_call,embarcacion-2026-08,2026-08-03 17:38:56,129.5,2026-08-03 17:41:05,confirmado,,/Users/pablo/Documents/ecos-del-golfo/fixtures/clips/2026-08-03_17h41m05s_pulsive_call.wav,/Users/pablo/Documents/ecos-del-golfo/fixtures/espectrogramas/2026-08-03_17h41m05s_pulsive_call.png,,,2026-08-10 01:50:25,2026-08-10 01:50:25
